Id	MachineId	LastRestockCashSalesAmountInCents	LastRestockCashInAmountInCents	LastRestockCashSalesQuantity	LastRestockBillsInAmount	LastRestockCoinsToTubesAmountInCents	LastRestockCoinsToBoxAmountInCents	CashSalesAmountInCents	CashInAmountInCents	CashSalesQuantity	BillsInAmount	CoinsToBoxAmountInCents	CoinsToTubeAmountInCents	CollectionDateTime	LastCollectionDateTime	CreatedByBackRestock	CollectedBillsAmount	CollectedCoinsAmountInCents	RefundAmountInCents	LastRestockCardSalesQuantity	LastRestockCardSalesAmountInCents	LastRestockTokenSalesQuantity	LastRestockTokenSalesAmountInCents	LastRestockCashDispensedAmountInCents	CardSalesQuantity	CardSalesAmountInCents	TokenSalesQuantity	TokenSalesAmountInCents	CashDispensedAmountInCents	CoinRefillAmountInCents	LastRestockTestVendAmountInCents	CoinsInTubeAmountInCents	FreeSalesQuantity	FreeSalesAmountInCents	LastRestockFreeSalesQuantity	LastRestockFreeSalesAmountInCents	BagNumber	CollectedTokensCount	CollectedTokensAmountInCents	CreatedDateTime	CreatedBy	Deleted	PrepickId	LastRestockAllSalesAmountInCents	AllSalesAmountInCents	RestockSummaryFrozen	CashMeterVideoId	PhotoAuditImageId	PhotoAuditThumbnailImageId	PreviousRestockUtcDateTime	RestockUtcDateTime	CreatedUtcDateTime	CreatedByUserId	RestockedByUserId	LastRestockAllSalesQuantity	AllSalesQuantity	ScheduleId	ScheduleDate	LastUpdateReason	LastUpdatedByUserId	
=9991	=1	=9805	=16105	=84	=133	=2780	=25	=3861005	=5484370	=36858	=939	=9950	=782985	=08/20/2013 15:18:53	=08/19/2013 14:28:24	=0	=0	=0	=0	=4	=430	=0	=0	=6795	=40	=4690	=0	=0	=2100680	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/20/2013 15:18:54	[NULL]	=False	=3890	=10235	=3865695	=True	[NULL]	[NULL]	[NULL]	=08/19/2013 11:28:24	=08/20/2013 12:18:53	=08/20/2013 12:18:54	[NULL]	[NULL]	[NULL]	[NULL]	=4660	=08/20/2013 00:00:00	[NULL]	[NULL]	
=9992	=5	=8460	=12175	=46	=100	=2165	=10	=1342560	=2337120	=7459	=19614	=74010	=301710	=08/20/2013 15:26:32	=08/19/2013 14:47:06	=0	=0	=0	=0	=1	=190	=0	=0	=3715	=1013	=191025	=0	=0	=1105880	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/20/2013 15:26:33	[NULL]	=False	=3890	=8650	=1533585	=True	[NULL]	[NULL]	[NULL]	=08/19/2013 11:47:06	=08/20/2013 12:26:32	=08/20/2013 12:26:33	[NULL]	[NULL]	[NULL]	[NULL]	=4660	=08/20/2013 00:00:00	[NULL]	[NULL]	
=9993	=3	=13600	=18010	=63	=143	=3625	=85	=8435405	=10651850	=66835	=79042	=810910	=1936740	=08/20/2013 15:32:25	=08/13/2013 11:59:59	=0	=0	=0	=0	=0	=0	=0	=0	=4410	=0	=0	=0	=0	=2214100	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/20/2013 15:32:25	[NULL]	=False	=3890	=13600	=8435405	=True	[NULL]	[NULL]	[NULL]	=08/13/2013 08:59:59	=08/20/2013 12:32:25	=08/20/2013 12:32:25	[NULL]	[NULL]	[NULL]	[NULL]	=4660	=08/20/2013 00:00:00	[NULL]	[NULL]	
=9994	=6	=8495	=13140	=87	=104	=1925	=815	=2202250	=3072590	=22172	=868	=9940	=307450	=08/20/2013 15:49:01	=08/15/2013 10:30:12	=0	=0	=0	=0	=3	=350	=0	=0	=4105	=38	=4190	=0	=0	=1021690	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/20/2013 15:49:01	[NULL]	=False	=3890	=8845	=2206440	=True	[NULL]	[NULL]	[NULL]	=08/15/2013 07:30:12	=08/20/2013 12:49:01	=08/20/2013 12:49:01	[NULL]	[NULL]	[NULL]	=22274	=4660	=08/20/2013 00:00:00	[NULL]	[NULL]	
=9995	=44	=4810	=7970	=27	=69	=700	=370	=4732850	=6476660	=28383	=53610	=391400	=724260	=08/21/2013 08:59:36	=08/19/2013 12:42:12	=0	=0	=0	=0	=3	=640	=0	=0	=3160	=6622	=1207185	=0	=0	=1756780	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/21/2013 08:59:38	[NULL]	=False	=3891	=5450	=5940035	=True	[NULL]	[NULL]	[NULL]	=08/19/2013 09:42:12	=08/21/2013 05:59:36	=08/21/2013 05:59:38	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=08/20/2013 00:00:00	[NULL]	[NULL]	
=9996	=19	=5475	=6275	=54	=43	=795	=1180	=3995995	=4482315	=38946	=199	=3260	=430245	=08/21/2013 09:18:34	=08/19/2013 12:47:32	=0	=0	=0	=0	=5	=585	=0	=0	=800	=21	=2320	=0	=0	=1132280	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/21/2013 09:18:36	[NULL]	=False	=3891	=6060	=3998315	=True	[NULL]	[NULL]	[NULL]	=08/19/2013 09:47:32	=08/21/2013 06:18:34	=08/21/2013 06:18:36	[NULL]	[NULL]	[NULL]	[NULL]	=4661	=08/21/2013 00:00:00	[NULL]	[NULL]	
=9997	=41	=6625	=9650	=40	=82	=930	=520	=3669515	=5113340	=21917	=43728	=168290	=572250	=08/21/2013 09:28:11	=08/16/2013 14:52:03	=0	=51	=113	=0	=4	=650	=0	=0	=3025	=2545	=461530	=0	=0	=1465215	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/21/2013 09:28:13	[NULL]	=False	=3892	=7275	=4131045	=True	[NULL]	[NULL]	[NULL]	=08/16/2013 11:52:03	=08/21/2013 06:28:11	=08/21/2013 06:28:13	[NULL]	=4104	[NULL]	[NULL]	[NULL]	=08/20/2013 00:00:00	[NULL]	[NULL]	
=9998	=22	=3875	=3875	=23	=28	=0	=1375	=3603065	=3603065	=31916	=29302	=680790	=491190	=08/21/2013 11:05:36	=08/07/2013 09:57:40	=0	=13	=51	=0	=0	=0	=0	=0	=300	=3144	=339050	=0	=0	=489420	=0	[NULL]	[NULL]	=32	=0	=0	=0	[NULL]	=0	=0	=08/21/2013 11:05:36	[NULL]	=False	=3893	=3875	=3942115	=True	[NULL]	[NULL]	[NULL]	[NULL]	=08/21/2013 08:05:36	=08/21/2013 08:05:36	[NULL]	=4105	[NULL]	[NULL]	=4663	=08/21/2013 00:00:00	[NULL]	[NULL]	
=9999	=11	=225	=225	=2	=1	=0	=125	=1473875	=2225410	=13668	=17947	=189630	=241080	=08/21/2013 12:15:08	=08/14/2013 13:01:46	=0	=0	=0	=0	=4	=455	=0	=0	=25	=2815	=419695	=0	=0	=801610	=0	[NULL]	[NULL]	=0	=0	=0	=0	=666	=0	=0	=08/21/2013 12:15:09	[NULL]	=False	=3893	=680	=1893570	=True	[NULL]	[NULL]	[NULL]	=08/14/2013 10:01:46	=08/21/2013 09:15:08	=08/21/2013 09:15:09	[NULL]	[NULL]	[NULL]	[NULL]	=4663	=08/21/2013 00:00:00	[NULL]	[NULL]	
=10000	=12	=1500	=2650	=12	=19	=750	=0	=1960475	=2227425	=17926	=16098	=368030	=249595	=08/21/2013 12:50:45	=05/29/2013 10:52:38	=0	=0	=0	=0	=0	=0	=0	=0	=650	=0	=0	=0	=0	=265060	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/21/2013 12:50:47	[NULL]	=False	=3893	=1500	=1960475	=True	[NULL]	[NULL]	[NULL]	[NULL]	=08/21/2013 09:50:45	=08/21/2013 09:50:47	[NULL]	[NULL]	[NULL]	[NULL]	=4663	=08/21/2013 00:00:00	[NULL]	[NULL]	
=10001	=7	=6100	=8205	=32	=72	=820	=185	=4238450	=4749325	=34811	=34255	=847955	=475870	=08/21/2013 13:16:23	=08/15/2013 10:32:57	=0	=0	=0	=0	=0	=0	=0	=0	=2105	=0	=0	=0	=0	=468770	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/21/2013 13:16:23	[NULL]	=False	=3893	=6100	=4238450	=True	[NULL]	[NULL]	[NULL]	=08/15/2013 07:32:57	=08/21/2013 10:16:23	=08/21/2013 10:16:23	[NULL]	[NULL]	[NULL]	[NULL]	=4663	=08/21/2013 00:00:00	[NULL]	[NULL]	
=10002	=1	=10390	=12285	=92	=75	=3945	=840	=3871395	=5496655	=36950	=1014	=10790	=786930	=08/21/2013 14:02:18	=08/20/2013 15:18:53	=0	=0	=0	=0	=9	=1030	=0	=0	=1895	=49	=5720	=0	=0	=2102575	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/21/2013 14:02:20	[NULL]	=False	=3893	=11420	=3877115	=True	[NULL]	[NULL]	[NULL]	=08/20/2013 12:18:53	=08/21/2013 11:02:18	=08/21/2013 11:02:20	[NULL]	[NULL]	[NULL]	[NULL]	=4663	=08/21/2013 00:00:00	[NULL]	[NULL]	
=10003	=13	=2100	=3775	=20	=31	=3300	=3200	=1641450	=2004930	=11304	=13875	=237370	=380060	=08/21/2013 14:11:58	=07/03/2013 12:21:10	=0	=14	=1400	=1800	=22	=2300	=24	=2500	=3400	=0	=0	=0	=0	=341910	=1900	=1700	[NULL]	=0	=0	=26	=2700	=12	=15	=1600	=08/21/2013 14:11:59	[NULL]	=False	=3893	=2900	=1641450	=False	[NULL]	[NULL]	[NULL]	[NULL]	=08/21/2013 11:11:58	=08/21/2013 11:11:59	[NULL]	=9	=28	[NULL]	=4663	=08/21/2013 00:00:00	=note deleted	=2678	
=10004	=23	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=08/21/2013 13:30:00	=02/13/2013 16:00:00	=1	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=0	=0	=0	=0	=0	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/21/2013 16:23:48	=broman@tmcc.edu	=False	=3893	=0	=1921705	=True	[NULL]	[NULL]	[NULL]	[NULL]	=08/21/2013 10:30:00	=08/21/2013 13:23:48	=4433	[NULL]	[NULL]	[NULL]	=4663	=08/21/2013 00:00:00	[NULL]	[NULL]	
=10005	=8	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=08/21/2013 13:30:00	=08/08/2013 11:20:00	=1	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=0	=0	=0	=0	=0	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/21/2013 16:31:45	=broman@tmcc.edu	=False	=3893	=0	=5050	=True	[NULL]	[NULL]	[NULL]	=08/08/2013 08:20:00	=08/21/2013 10:30:00	=08/21/2013 13:31:45	=4433	[NULL]	[NULL]	[NULL]	=4663	=08/21/2013 00:00:00	[NULL]	[NULL]	
=10006	=62	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=09/01/2014 20:00:00	[NULL]	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=09/01/2014 20:36:03	=alexey.matvienko@cantaloupesys.com	=False	[NULL]	=0	=0	=False	[NULL]	[NULL]	[NULL]	[NULL]	=09/01/2014 17:00:00	=09/01/2014 17:36:03	=2972	[NULL]	[NULL]	[NULL]	[NULL]	=09/01/2014 00:00:00	[NULL]	[NULL]	
